raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
0,85,81,77,73,67,63,59,55,51
1,87,83,79,74,69,64,60,56,52
2,89,85,80,75,70,65,61,57,53
3,91,86,82,77,71,66,62,59,54
4,93,88,83,78,72,68,63,60,55
5,95,90,85,79,74,69,65,61,56
6,97,91,86,81,75,70,66,62,58
7,98,93,88,83,77,72,67,63,59
8,100,95,90,84,78,73,69,65,60
9,102,97,92,86,80,75,70,66,61
10,104,98,93,88,82,76,72,68,63
11,106,100,95,90,83,78,73,69,64
12,108,103,97,92,85,80,75,71,66
13,110,105,100,94,87,82,77,73,67
14,113,107,102,96,90,84,79,75,69
15,115,109,104,98,92,86,81,77,71
16,118,112,107,101,94,89,83,79,73
17,120,115,109,103,97,91,86,81,76
18,123,117,112,106,100,94,89,84,79
19,126,121,115,110,103,97,92,88,82
20,129,124,119,113,106,101,96,92,86
21,130,127,122,117,111,106,101,97,91
22,130,130,126,121,116,111,106,102,96
23,130,130,130,126,121,116,111,107,101
24,130,130,130,130,125,121,116,112,109
25,130,130,130,130,130,126,121,119,115
