raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
1,93,89,86,83,80,78,75,72,69,66,64,62,60,58,57,55,54,51,48,45
2,96,92,88,85,82,80,77,73,71,68,66,64,62,60,58,57,55,52,49,46
3,98,94,91,88,85,82,79,75,72,70,67,65,63,61,60,58,56,54,50,47
4,101,97,93,90,87,84,81,77,74,71,69,67,65,63,61,59,57,55,52,48
5,104,99,96,92,89,86,83,79,76,73,70,68,66,64,62,61,58,56,53,49
6,106,102,98,94,91,88,85,81,78,75,72,70,67,65,64,62,60,57,54,50
7,109,104,100,97,93,90,87,83,79,76,74,71,69,67,65,63,61,58,55,51
8,112,107,103,99,95,92,89,85,81,78,75,73,70,68,66,65,62,59,56,52
9,114,109,105,101,98,94,91,87,83,80,77,74,72,70,68,66,63,61,57,53
10,117,112,107,103,100,96,93,88,85,81,79,76,73,71,69,67,65,62,58,54
11,120,114,110,106,102,98,95,90,87,83,80,77,75,73,71,69,66,63,59,55
12,122,117,112,108,104,101,97,92,88,85,82,79,77,74,72,70,67,64,61,57
13,125,120,115,110,106,103,99,94,90,87,84,81,78,76,74,72,69,66,62,58
14,128,122,117,113,109,105,101,96,92,89,85,82,80,77,75,73,70,67,63,59
15,130,125,120,115,111,107,103,98,94,90,87,84,81,79,77,74,72,68,64,60
16,130,127,122,117,113,109,105,100,96,92,89,86,83,80,78,76,73,70,66,61
17,130,130,125,120,116,112,107,102,98,94,91,87,85,82,80,77,74,71,67,63
18,130,130,127,122,118,114,109,104,100,96,92,89,86,84,81,79,76,73,68,64
19,130,130,130,125,120,116,111,106,102,98,94,91,88,85,83,81,78,74,70,65
20,130,130,130,127,123,119,114,109,104,100,96,93,90,87,84,82,79,76,71,67
21,130,130,130,130,125,121,116,111,106,102,98,95,92,89,86,84,81,77,73,68
22,130,130,130,130,128,123,118,113,108,104,100,97,93,91,88,86,82,79,74,70
23,130,130,130,130,130,126,121,115,110,106,102,99,95,92,90,87,84,80,76,71
24,130,130,130,130,130,128,123,117,113,108,104,101,97,94,92,89,86,82,78,73
25,130,130,130,130,130,130,126,120,115,110,106,103,99,96,94,91,88,84,79,75
26,130,130,130,130,130,130,128,122,117,113,108,105,101,98,96,93,90,86,81,77
27,130,130,130,130,130,130,130,125,120,115,111,107,104,100,98,95,92,88,83,79
28,130,130,130,130,130,130,130,127,122,117,113,109,106,103,100,97,94,90,86,82
29,130,130,130,130,130,130,130,130,125,120,115,112,108,105,102,100,96,92,88,84
30,130,130,130,130,130,130,130,130,127,122,118,114,111,107,105,102,98,95,90,87
31,130,130,130,130,130,130,130,130,130,125,121,117,113,110,107,104,101,97,93,91
32,130,130,130,130,130,130,130,130,130,128,124,119,116,113,110,107,104,100,97,95
33,130,130,130,130,130,130,130,130,130,130,126,122,119,116,113,110,107,103,100,100
34,130,130,130,130,130,130,130,130,130,130,130,126,122,119,116,113,110,107,105,104
35,130,130,130,130,130,130,130,130,130,130,130,129,125,122,119,117,114,111,110,108
36,130,130,130,130,130,130,130,130,130,130,130,130,129,126,123,121,118,116,115,112
37,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,126,123,122,120,115
38,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,127,124,117
39,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,119
40,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,121
41,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,123
42,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,124
43,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,126
44,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,127
